ORDER_ID,SUBSCRIBER_ID,STATUS_DATE,STATUS_TIME,STATUS
100159,200427,20230223,83209,ASSIGNED
100159,200427,20230223,74232,RETURNED
100159,200427,20230222,95056,CREATED
100410,200366,20230223,91017,ASSIGNED
100410,200366,20230223,30301,RETURNED
100410,200366,20230222,93638,CREATED
100497,200024,20230222,105418,POOL
100497,200024,20230222,105418,CREATED
100539,200012,20230222,112855,COMPLETED
100539,200012,20230222,95408,CREATED
100575,200573,20230223,85951,ASSIGNED
100575,200573,20230223,41932,RETURNED
100575,200573,20230222,105441,CREATED
100259,200192,20230223,83115,ASSIGNED
100259,200192,20230222,94751,CREATED
100563,200421,20230223,82133,ASSIGNED
100563,200421,20230223,74734,RETURNED
100563,200421,20230222,94100,CREATED
100230,200049,20230222,182650,COMPLETED
100230,200049,20230222,161234,RETURNED
100230,200049,20230222,105708,CREATED
100139,200078,20230222,122817,COMPLETED
100139,200078,20230222,93841,CREATED
100511,200495,20230222,105514,POOL
100511,200495,20230222,105514,CREATED
100099,200199,20230223,90346,ASSIGNED
100099,200199,20230223,74715,RETURNED
100099,200199,20230222,94123,CREATED
100399,200373,20230221,190801,COMPLETED
100399,200373,20230221,163800,CREATED
100188,200156,20230222,165422,COMPLETED
100188,200156,20230222,151355,RETURNED
100188,200156,20230221,163807,CREATED
100492,200344,20230223,90159,ASSIGNED
100492,200344,20230223,74715,RETURNED
100492,200344,20230222,95347,CREATED
100483,200338,20230223,82229,ASSIGNED
100483,200338,20230223,74440,RETURNED
100483,200338,20230222,105357,CREATED
100288,200330,20230221,171258,COMPLETED
100288,200330,20230221,161205,CREATED
100439,200218,20230223,91144,ASSIGNED
100439,200218,20230223,41932,RETURNED
100439,200218,20230222,95510,CREATED
100077,200284,20230222,165216,COMPLETED
100077,200284,20230222,151355,RETURNED
100077,200284,20230222,94646,CREATED
100165,200031,20230222,223458,COMPLETED
100165,200031,20230222,165502,RETURNED
100165,200031,20230222,105740,CREATED
100503,200179,20230223,82311,ASSIGNED
100503,200179,20230223,74440,RETURNED
100503,200179,20230222,95026,CREATED
100081,200280,20230222,123825,COMPLETED
100081,200280,20230222,104716,RETURNED
100081,200280,20230222,93600,CREATED
100552,200439,20230222,135854,POOL
100552,200439,20230222,135854,CREATED
100107,200588,20230223,80443,RETURNED
100107,200588,20230223,80443,POOL
100107,200588,20230222,93724,CREATED
100358,200086,20230223,81145,ASSIGNED
100358,200086,20230223,31634,RETURNED
100358,200086,20230222,94442,CREATED
100468,200383,20230223,83549,ASSIGNED
100468,200383,20230223,74232,RETURNED
100468,200383,20230222,93903,CREATED
100523,200141,20230223,91010,ASSIGNED
100523,200141,20230223,31234,RETURNED
100523,200141,20230222,93928,CREATED
100283,200266,20230223,85727,ASSIGNED
100283,200266,20230223,41932,RETURNED
100283,200266,20230222,105436,CREATED
100280,200020,20230222,140936,COMPLETED
100280,200020,20230222,95001,CREATED
100057,200560,20230222,193056,COMPLETED
100057,200560,20230222,163434,RETURNED
100057,200560,20230222,95034,CREATED
100300,200102,20230223,32641,COMPLETED
100300,200102,20230222,234258,RETURNED
100300,200102,20230222,95054,CREATED
100038,200572,20230223,82047,ASSIGNED
100038,200572,20230223,74734,RETURNED
100038,200572,20230222,94455,CREATED
100404,200134,20230222,204527,CANCELLED
100404,200134,20230222,203546,RETURNED
100404,200134,20230222,95325,CREATED
100572,200259,20230223,83433,ASSIGNED
100572,200259,20230223,23501,RETURNED
100572,200259,20230222,94636,CREATED
100134,200390,20230222,204509,CANCELLED
100134,200390,20230222,204011,RETURNED
100134,200390,20230222,105628,CREATED
100213,200576,20230222,154821,COMPLETED
100213,200576,20230222,101513,RETURNED
100213,200576,20230222,94213,CREATED
100354,200429,20230222,153948,COMPLETED
100354,200429,20230222,105431,CREATED
100264,200551,20230222,94714,POOL
100264,200551,20230222,94714,CREATED
100195,200164,20230223,83342,ASSIGNED
100195,200164,20230223,75416,RETURNED
100195,200164,20230222,94145,CREATED
100499,200189,20230222,140843,COMPLETED
100499,200189,20230222,101521,RETURNED
100499,200189,20230222,95200,CREATED
100309,200169,20230223,80907,ASSIGNED
100309,200169,20230223,74734,RETURNED
100309,200169,20230222,143357,CREATED
100386,200158,20230222,173804,COMPLETED
100386,200158,20230222,161105,RETURNED
100386,200158,20230222,105657,CREATED
100246,200301,20230222,133244,COMPLETED
100246,200301,20230222,105713,CREATED
100506,200382,20230222,190104,COMPLETED
100506,200382,20230222,170934,RETURNED
100506,200382,20230222,94934,CREATED
100231,200225,20230222,214514,COMPLETED
100231,200225,20230222,95023,CREATED
100402,200374,20230222,230626,COMPLETED
100402,200374,20230222,154525,RETURNED
100402,200374,20230222,95332,CREATED
100396,200082,20230223,85708,ASSIGNED
100396,200082,20230223,41932,RETURNED
100396,200082,20230222,105433,CREATED
100290,200037,20230222,94711,POOL
100290,200037,20230222,94711,CREATED
100398,200552,20230222,21911,COMPLETED
100398,200552,20230221,164030,CREATED
100056,200033,20230221,190912,COMPLETED
100056,200033,20230221,163850,CREATED
100135,200231,20230223,90603,ASSIGNED
100135,200231,20230223,41932,RETURNED
100135,200231,20230222,95121,CREATED
100484,200052,20230222,151337,COMPLETED
100484,200052,20230222,105428,CREATED
100299,200549,20230222,145920,COMPLETED
100299,200549,20230222,93843,CREATED
100161,200117,20230221,172019,CANCELLED
100161,200117,20230221,171544,RETURNED
100161,200117,20230221,163714,CREATED
100431,200117,20230222,204937,CANCELLED
100431,200117,20230222,172904,RETURNED
100431,200117,20230222,135807,CREATED
100536,200159,20230222,103015,COMPLETED
100536,200159,20230222,93908,CREATED
100005,200546,20230222,94727,POOL
100005,200546,20230222,94727,CREATED
100113,200223,20230222,105919,CANCELLED
100113,200223,20230222,105122,RETURNED
100113,200223,20230221,163840,CREATED
100508,200223,20230222,180528,COMPLETED
100508,200223,20230222,135903,CREATED
100342,200568,20230222,184007,COMPLETED
100342,200568,20230222,154314,RETURNED
100342,200568,20230222,105329,CREATED
100351,200282,20230223,84749,ASSIGNED
100351,200282,20230223,23346,RETURNED
100351,200282,20230222,94321,CREATED
100127,200347,20230222,95147,POOL
100127,200347,20230222,95147,CREATED
100174,200055,20230223,94603,COMPLETED
100174,200055,20230223,80443,RETURNED
100174,200055,20230222,94430,CREATED
100384,200441,20230222,115156,COMPLETED
100384,200441,20230222,94533,CREATED
100120,200365,20230222,181043,COMPLETED
100120,200365,20230222,163444,RETURNED
100120,200365,20230222,95444,CREATED
100400,200443,20230223,101236,ASSIGNED
100400,200443,20230223,81937,RETURNED
100400,200443,20230222,95459,CREATED
100030,200144,20230223,83447,ASSIGNED
100030,200144,20230223,23513,RETURNED
100030,200144,20230222,94639,CREATED
100338,200472,20230223,91221,ASSIGNED
100338,200472,20230223,41932,RETURNED
100338,200472,20230222,95521,CREATED
100007,200486,20230223,91359,ASSIGNED
100007,200486,20230223,41932,RETURNED
100007,200486,20230222,105448,CREATED
100097,200337,20230222,105255,POOL
100097,200337,20230222,105255,CREATED
100369,200109,20230222,105533,POOL
100369,200109,20230222,105533,CREATED
100401,200185,20230222,94212,ASSIGNED
100401,200185,20230222,94032,CREATED
100504,200277,20230222,180018,COMPLETED
100504,200277,20230222,154314,RETURNED
100504,200277,20230222,95044,CREATED
100445,200541,20230223,14249,CANCELLED
100445,200541,20230223,12723,RETURNED
100445,200541,20230222,93740,CREATED
100562,200226,20230223,24837,COMPLETED
100562,200226,20230222,235512,RETURNED
100562,200226,20230222,93833,CREATED
100320,200334,20230221,163936,POOL
100320,200334,20230221,163936,CREATED
100557,200584,20230222,105536,POOL
100557,200584,20230222,105536,CREATED
100234,200385,20230223,83424,ASSIGNED
100234,200385,20230223,74232,RETURNED
100234,200385,20230222,94251,CREATED
100194,200269,20230222,94359,POOL
100194,200269,20230222,94359,CREATED
100196,200028,20230222,94408,POOL
100196,200028,20230222,94408,CREATED
